"Kind","Source","Pages","TextBytes","Dilithium","MLDSA","Keccak","SHAKE","NTT","Sampler","FPGA","Masking","Fault"
"PDF","docs\FIPS\nist.fips.202.pdf","37","80144","0","0","138","63","0","0","0","0","0"
"PDF","docs\FIPS\NIST.FIPS.203.pdf","56","157237","1","0","2","31","103","3","0","0","2"
"PDF","docs\FIPS\NIST.FIPS.204.pdf","65","178841","19","217","2","43","87","16","0","0","17"
"PDF","docs\progress-sum-and-goals\Apr-2026-ProgressSummary.pdf","1","875","1","0","6","0","2","0","0","0","0"
"PDF","docs\progress-sum-and-goals\Jan-Mar-2026-ProgressSummary.pdf","2","1773","4","0","0","0","0","0","0","0","0"
"PDF","docs\progress-sum-and-goals\May-2nd-Week-2026-ProgressSummary.pdf","1","2065","1","0","4","2","4","0","1","0","0"
"PDF","docs\Proposal\MastersThesisProposalFormat (1) (1).pdf","6","6249","0","0","0","0","2","0","0","0","0"
"PDF","docs\Proposal\proposal-turnitin.pdf","14","2569","0","0","0","0","0","0","0","0","0"
"PDF","docs\Proposal\similarity-index-report.pdf","1","1790","0","0","0","0","0","0","0","0","0"
"PDF","docs\Proposal\thesis-proposal.pdf","12","20877","23","3","0","0","2","0","2","0","0"
"PDF","docs\refernce-paper-algo\CRYSTALS-Dilithium-April2018.pdf","29","12853","9","0","0","1","0","2","0","0","0"
"PDF","docs\refernce-paper-algo\dilithium-specification-round3-20210208.pdf","38","142359","78","0","0","28","70","14","0","4","3"
"PDF","docs\refernce-paper-hw\2019\NIST Post-Quantum Cryptography\A Hardware Evaluation Study of NIST Post-Quantum Cryptographic Signature schemes.pdf","4","47180","17","0","0","0","0","0","8","0","0"
"PDF","docs\refernce-paper-hw\2019\NIST Post-Quantum Cryptography\dilithium-specification-round3-20210208.pdf","16","104127","49","0","45","6","0","0","20","0","1"
"PDF","docs\refernce-paper-hw\2019\NIST Post-Quantum Cryptography\NIST Post-Quantum Cryptography.pdf","16","104127","49","0","45","6","0","0","20","0","1"
"PDF","docs\refernce-paper-hw\2021\A SofwareHardware Co-Design of Crystals-Dilithium Signature Scheme\A SofwareHardware Co-Design of Crystals-Dilithium Signature Scheme.pdf","22","81898","54","0","13","2","84","3","14","0","1"
"PDF","docs\refernce-paper-hw\2021\LukeBeckwith-High-Performance Hardware Implementation of CRYSTALS-Dilithium\LukeBeckwith-High-Performance Hardware Implementation of CRYSTALS-Dilithium.pdf","10","67364","59","0","18","7","57","16","17","0","1"
"PDF","docs\refernce-paper-hw\2021\LukeBeckwith-High-Performance Hardware Implementation of CRYSTALS-Dilithium\session-4-beckwith-high-performance-hardware-pqc2022.pdf","33","31428","36","0","2","1","9","8","8","0","2"
